dataset,backbone,world,alpha,fold,target_subject,intervention,budget,split_id,k,decision_input_hash,audit_idx_hash,audit_label_hash,audit_delta_bacc,audit_delta_nll,specificity_flag
Lee2019_MI,EEGNet,v2_source_invisible_world_a,0.5,1,1,identity,B0_source_only,1,,c591269679b6bf25,950e58faf98d86d1,45d2047dc0f726b1,,,
Lee2019_MI,EEGNet,v2_source_invisible_world_a,0.5,1,1,identity,B1_unlabeled_target,1,,c4afdf47104286c4,950e58faf98d86d1,45d2047dc0f726b1,,,
Lee2019_MI,EEGNet,v2_source_invisible_world_a,0.5,1,1,identity,B2_k_labels_per_class,1,1,1fcb732acd60d046,950e58faf98d86d1,45d2047dc0f726b1,,,
Lee2019_MI,EEGNet,v2_source_invisible_world_a,0.5,1,1,identity,B2_k_labels_per_class,1,2,1fcb732acd60d046,950e58faf98d86d1,45d2047dc0f726b1,,,
Lee2019_MI,EEGNet,v2_source_invisible_world_a,0.5,1,1,identity,B2_k_labels_per_class,1,4,1fcb732acd60d046,950e58faf98d86d1,45d2047dc0f726b1,,,
Lee2019_MI,EEGNet,v2_source_invisible_world_a,0.5,1,1,identity,B2_k_labels_per_class,1,8,1fcb732acd60d046,950e58faf98d86d1,45d2047dc0f726b1,,,
Lee2019_MI,EEGNet,v2_source_invisible_world_a,0.5,1,1,identity,B2_k_labels_per_class,1,16,1fcb732acd60d046,950e58faf98d86d1,45d2047dc0f726b1,,,
Lee2019_MI,EEGNet,v2_source_invisible_world_a,0.5,1,1,identity,B2_k_labels_per_class,2,1,1fcb732acd60d046,b5deda6d8be0a5b8,38379d535d6b63d4,,,
Lee2019_MI,EEGNet,v2_source_invisible_world_a,0.5,1,1,identity,B2_k_labels_per_class,2,2,1fcb732acd60d046,b5deda6d8be0a5b8,38379d535d6b63d4,,,
Lee2019_MI,EEGNet,v2_source_invisible_world_a,0.5,1,1,identity,B2_k_labels_per_class,2,4,1fcb732acd60d046,b5deda6d8be0a5b8,38379d535d6b63d4,,,
Lee2019_MI,EEGNet,v2_source_invisible_world_a,0.5,1,1,identity,B2_k_labels_per_class,2,8,1fcb732acd60d046,b5deda6d8be0a5b8,38379d535d6b63d4,,,
Lee2019_MI,EEGNet,v2_source_invisible_world_a,0.5,1,1,identity,B2_k_labels_per_class,2,16,1fcb732acd60d046,b5deda6d8be0a5b8,38379d535d6b63d4,,,
